"Report Group Date","VehicleReg","DriverID","VehicleStatus","MOBILESPEED","MOBILEODO","Location","SkillSet","MsgTypeId","LocationTolerance","STATUS1"
"4/7/2025 5:45:27 AM","JB 61 HF GP","","Start up","0","86.081","Long : 28.13665. Lat : -25.84314","","1","",""
"4/7/2025 5:46:00 AM","JB 61 HF GP","","Speed Violation","28","86.259","Long : 28.13838. Lat : -25.84322","","1","",""
"4/7/2025 5:48:00 AM","JB 61 HF GP","","Driving","9","86.962","Long : 28.14365. Lat : -25.84212","","1","",""
"4/7/2025 5:50:00 AM","JB 61 HF GP","","Driving","24","88.003","Long : 28.15142. Lat : -25.84375","","1","",""
"4/7/2025 5:52:00 AM","JB 61 HF GP","","Driving","42","88.881","Long : 28.15371. Lat : -25.84114","","1","",""
"4/7/2025 5:54:00 AM","JB 61 HF GP","","Driving","34","90.255","Long : 28.16703. Lat : -25.84072","","1","",""
"4/7/2025 5:56:00 AM","JB 61 HF GP","","Driving","14","91.392","Long : 28.17813. Lat : -25.83889","","1","",""
"4/7/2025 5:58:00 AM","JB 61 HF GP","","Driving","38","92.081","Long : 28.18453. Lat : -25.83929","","1","",""
"4/7/2025 6:00:00 AM","JB 61 HF GP","","Driving","71","94.877","Long : 28.1729. Lat : -25.86188","","1","",""
"4/7/2025 6:01:59 AM","JB 61 HF GP","","Harsh Braking","46","97.746","Long : 28.16659. Lat : -25.88712","","1","",""
"4/7/2025 6:02:00 AM","JB 61 HF GP","","Harsh Braking","38","97.752","Long : 28.16657. Lat : -25.88717","","1","",""
"4/7/2025 6:02:12 AM","JB 61 HF GP","","GSM Jam","13","97.802","Long : 28.16646. Lat : -25.88761","","1","",""
"4/7/2025 6:04:00 AM","JB 61 HF GP","","Driving","57","99.723","Long : 28.16061. Lat : -25.90408","","1","",""
"4/7/2025 6:06:00 AM","JB 61 HF GP","","Driving","77","101.912","Long : 28.14989. Lat : -25.92127","","1","",""
"4/7/2025 6:08:00 AM","JB 61 HF GP","","Driving","51","104.201","Long : 28.1398. Lat : -25.93975","","1","",""
"4/7/2025 6:10:00 AM","JB 61 HF GP","","Driving","33","105.662","Long : 28.13498. Lat : -25.95218","","1","",""
"4/7/2025 6:12:00 AM","JB 61 HF GP","","Driving","62","107.634","Long : 28.12971. Lat : -25.96935","","1","",""
"4/7/2025 6:14:00 AM","JB 61 HF GP","","Driving","94","110.060","Long : 28.1232. Lat : -25.99044","","1","",""
"4/7/2025 6:16:00 AM","JB 61 HF GP","","Driving","96","113.077","Long : 28.11529. Lat : -26.0165","","1","",""
"4/7/2025 6:18:00 AM","JB 61 HF GP","","Driving","89","116.092","Long : 28.1042. Lat : -26.04151","","1","",""
"4/7/2025 6:20:00 AM","JB 61 HF GP","","Driving","53","118.758","Long : 28.09341. Lat : -26.0613","","1","",""
"4/7/2025 6:22:00 AM","JB 61 HF GP","","Driving","0","119.989","Long : 28.09019. Lat : -26.05716","","1","",""
"4/7/2025 6:23:30 AM","JB 61 HF GP","","GSM Jam","44","120.581","Long : 28.08492. Lat : -26.05763","","1","",""
"4/7/2025 6:24:00 AM","JB 61 HF GP","","Driving","15","120.751","Long : 28.08572. Lat : -26.05872","","1","",""
"4/7/2025 6:26:00 AM","JB 61 HF GP","","Driving; (GPS Unlock)","0","121.084","Long : 28.08835. Lat : -26.05957","","1","",""
"4/7/2025 6:28:00 AM","JB 61 HF GP","","Driving; (GPS Unlock)","0","121.265","Long : 28.08768. Lat : -26.05984","","1","",""
"4/7/2025 6:28:52 AM","JB 61 HF GP","","Ignition off","0","121.344","Long : 28.08827. Lat : -26.05957","","1","",""
"4/7/2025 2:51:59 PM","JB 61 HF GP","","Start up","0","121.344","Long : 28.08827. Lat : -26.05957","","1","",""
"4/7/2025 2:52:00 PM","JB 61 HF GP","","Driving; (GPS Unlock)","0","121.344","Long : 28.08827. Lat : -26.05957","","1","",""
"4/7/2025 2:54:00 PM","JB 61 HF GP","","Driving","40","121.982","Long : 28.08551. Lat : -26.05685","","1","",""
"4/7/2025 2:56:00 PM","JB 61 HF GP","","Driving","0","122.309","Long : 28.08879. Lat : -26.05661","","1","",""
"4/7/2025 2:58:00 PM","JB 61 HF GP","","Driving","53","122.567","Long : 28.0906. Lat : -26.05785","","1","",""
"4/7/2025 2:58:38 PM","JB 61 HF GP","","GSM Jam","36","123.060","Long : 28.09156. Lat : -26.06192","","1","",""
"4/7/2025 3:00:00 PM","JB 61 HF GP","","Driving","90","124.743","Long : 28.09523. Lat : -26.04762","","1","",""
"4/7/2025 3:02:00 PM","JB 61 HF GP","","Driving","90","127.683","Long : 28.11042. Lat : -26.02637","","1","",""
"4/7/2025 3:04:00 PM","JB 61 HF GP","","Driving","88","130.667","Long : 28.12108. Lat : -26.00131","","1","",""
"4/7/2025 3:06:00 PM","JB 61 HF GP","","Driving","45","132.752","Long : 28.1254. Lat : -25.98298","","1","",""
"4/7/2025 3:08:00 PM","JB 61 HF GP","","Driving","100","135.615","Long : 28.13305. Lat : -25.95808","","1","",""
"4/7/2025 3:10:00 PM","JB 61 HF GP","","Driving","104","138.767","Long : 28.14376. Lat : -25.93139","","1","",""
"4/7/2025 3:12:00 PM","JB 61 HF GP","","Driving","84","141.749","Long : 28.15823. Lat : -25.90786","","1","",""
"4/7/2025 3:14:00 PM","JB 61 HF GP","","Driving","80","144.566","Long : 28.16708. Lat : -25.8839","","1","",""
"4/7/2025 3:16:00 PM","JB 61 HF GP","","Driving","100","147.404","Long : 28.18593. Lat : -25.87011","","1","",""
"4/7/2025 3:18:00 PM","JB 61 HF GP","","Driving","98","150.911","Long : 28.21865. Lat : -25.85945","","1","",""
"4/7/2025 3:20:00 PM","JB 61 HF GP","","Driving","94","154.217","Long : 28.23722. Lat : -25.83569","","1","",""
"4/7/2025 3:22:00 PM","JB 61 HF GP","","Driving","94","157.434","Long : 28.25705. Lat : -25.81305","","1","",""
"4/7/2025 3:24:00 PM","JB 61 HF GP","","Driving","107","160.980","Long : 28.27051. Lat : -25.7837","","1","",""
"4/7/2025 3:26:00 PM","JB 61 HF GP","","Driving","85","164.286","Long : 28.2743. Lat : -25.7544","","1","",""
"4/7/2025 3:28:00 PM","JB 61 HF GP","","Driving","79","166.965","Long : 28.25509. Lat : -25.74174","","1","",""
"4/7/2025 3:30:00 PM","JB 61 HF GP","","Driving","7","168.435","Long : 28.24174. Lat : -25.74529","","1","",""
"4/7/2025 3:32:00 PM","JB 61 HF GP","","Driving","37","169.455","Long : 28.24135. Lat : -25.75313","","1","",""
"4/7/2025 3:34:00 PM","JB 61 HF GP","","Driving","8","170.049","Long : 28.24738. Lat : -25.75272","","1","",""
"4/7/2025 3:36:00 PM","JB 61 HF GP","","Driving","0","170.379","Long : 28.24975. Lat : -25.75333","","1","",""
"4/7/2025 3:38:00 PM","JB 61 HF GP","","Driving","0","170.379","Long : 28.24975. Lat : -25.75333","","1","",""
"4/7/2025 3:39:22 PM","JB 61 HF GP","","Ignition off","0","170.379","Long : 28.24975. Lat : -25.75333","","1","",""
"4/7/2025 5:14:27 PM","JB 61 HF GP","","Start up","0","170.379","Long : 28.24975. Lat : -25.75333","","1","",""
"4/7/2025 5:16:00 PM","JB 61 HF GP","","Driving","19","170.574","Long : 28.2481. Lat : -25.75268","","1","",""
"4/7/2025 5:18:00 PM","JB 61 HF GP","","Driving","0","171.263","Long : 28.24105. Lat : -25.75318","","1","",""
"4/7/2025 5:20:00 PM","JB 61 HF GP","","Driving","10","171.561","Long : 28.23973. Lat : -25.75532","","1","",""
"4/7/2025 5:22:00 PM","JB 61 HF GP","","Driving","0","172.114","Long : 28.24178. Lat : -25.75854","","1","",""
"4/7/2025 5:24:00 PM","JB 61 HF GP","","Driving","0","172.213","Long : 28.24278. Lat : -25.75878","","1","",""
"4/7/2025 5:25:59 PM","JB 61 HF GP","","Ignition off","0","172.213","Long : 28.24278. Lat : -25.75878","","1","",""
"4/7/2025 5:38:27 PM","JB 61 HF GP","","Start up","0","172.213","Long : 28.24278. Lat : -25.75878","","1","",""
"4/7/2025 5:40:00 PM","JB 61 HF GP","","Driving","0","172.849","Long : 28.24808. Lat : -25.76085","","1","",""
"4/7/2025 5:42:00 PM","JB 61 HF GP","","Driving","48","173.694","Long : 28.25587. Lat : -25.763","","1","",""
"4/7/2025 5:44:00 PM","JB 61 HF GP","","Driving","18","174.764","Long : 28.26154. Lat : -25.77019","","1","",""
"4/7/2025 5:46:00 PM","JB 61 HF GP","","Driving","19","175.322","Long : 28.26003. Lat : -25.77512","","1","",""
"4/7/2025 5:48:00 PM","JB 61 HF GP","","Driving","12","176.126","Long : 28.26081. Lat : -25.77633","","1","",""
"4/7/2025 5:50:00 PM","JB 61 HF GP","","Driving","0","176.531","Long : 28.26287. Lat : -25.77438","","1","",""
"4/7/2025 5:52:00 PM","JB 61 HF GP","","Driving","0","176.543","Long : 28.26298. Lat : -25.77443","","1","",""
"4/7/2025 5:53:51 PM","JB 61 HF GP","","Ignition off","0","176.543","Long : 28.26298. Lat : -25.77443","","1","",""
"4/7/2025 7:07:28 PM","JB 61 HF GP","","Start up","0","176.543","Long : 28.26298. Lat : -25.77443","","1","",""
"4/7/2025 7:08:00 PM","JB 61 HF GP","","Driving","18","176.612","Long : 28.26248. Lat : -25.77442","","1","",""
"4/7/2025 7:10:00 PM","JB 61 HF GP","","Driving","36","177.558","Long : 28.26681. Lat : -25.77534","","1","",""
"4/7/2025 7:12:00 PM","JB 61 HF GP","","Driving","43","178.303","Long : 28.27192. Lat : -25.77822","","1","",""
"4/7/2025 7:14:00 PM","JB 61 HF GP","","Driving","86","180.490","Long : 28.26649. Lat : -25.79457","","1","",""
